CP,stage001,stage002,stage003,stage004,stage005,stage006,stage007,stage008,stage009,stage010,stage011,stage012,stage013,stage014,stage015,stage016,stage017,stage018,stage019,stage020,stage021,stage022,stage023,stage024,stage025,stage026,stage027,stage028,stage029,stage030,stage031,stage032,stage033,stage034,stage035,stage036,stage037,stage038,stage039,stage040,stage041,stage042,stage043,stage044,stage045,stage046,stage047,stage048,stage049,stage050,stage051,stage052,stage053,stage054,stage055,stage056,stage057,stage058,stage059,stage060,stage061,stage062,stage063,stage064,stage065,stage066,stage067,stage068,stage069,stage070,stage071,stage072,stage073,stage074,stage075,stage076,stage077,stage078,stage079,stage080,stage081,stage082,stage083,stage084,stage085,stage086,stage087,stage088,stage089,stage090,stage091,stage092,stage093,stage094,stage095,stage096,stage097,stage098,stage099,stage100
Lot017_14,Tool1-4,Tool2-4,Tool3-2,Tool4-4,Tool5-4,Tool6-7,Tool7-1,Tool8-1,Tool9-2,Tool10-1,Tool11-4,Tool12-1,Tool13-5,Tool14-4,Tool15-3,Tool16-1,Tool17-1,Tool18-1,Tool19-1,Tool20-1,Tool21-1,Tool22-2,Tool23-2,Tool24-2,Tool25-2,Tool26-1,Tool27-2,Tool28-6,Tool29-7,Tool30-2,Tool31-2,Tool32-1,Tool33-4,Tool34-2,Tool35-6,NA,Tool37-2,Tool38-1,Tool39-2,Tool40-1,Tool41-3,Tool42-3,Tool43-8,Tool44-5,Tool45-2,Tool46-2,Tool47-4,Tool48-1,Tool49-2,Tool50-2,Tool51-1,Tool52-1,Tool53-3,Tool54-4,Tool55-4,Tool56-1,Tool57-2,Tool58-1,Tool59-1,Tool60-1,Tool61-1,Tool62-4,NA,Tool64-1,Tool65-1,Tool66-2,Tool67-3,NA,Tool69-3,Tool70-2,Tool71-1,Tool72-2,NA,Tool74-3,Tool75-2,Tool76-2,Tool77-1,Tool78-1,Tool79-4,Tool80-3,Tool81-1,Tool82-2,Tool83-2,Tool84-2,Tool85-1,Tool86-1,Tool87-2,Tool88-3,Tool89-2,Tool90-2,Tool91-1,Tool92-2,Tool93-5,Tool94-1,Tool95-1,Tool96-3,Tool97-5,Tool98-5,Tool99-3,Tool100-2
Lot017_15,Tool1-4,Tool2-4,Tool3-2,Tool4-4,Tool5-4,Tool6-7,Tool7-1,Tool8-1,Tool9-2,Tool10-1,NA,Tool12-1,Tool13-5,Tool14-4,Tool15-3,Tool16-1,Tool17-1,NA,Tool19-1,Tool20-1,Tool21-1,Tool22-2,Tool23-2,Tool24-2,Tool25-2,Tool26-1,Tool27-2,Tool28-6,Tool29-7,Tool30-2,Tool31-2,Tool32-1,Tool33-4,Tool34-2,Tool35-6,Tool36-2,Tool37-2,Tool38-1,Tool39-2,Tool40-1,Tool41-3,Tool42-3,Tool43-8,Tool44-5,Tool45-2,Tool46-2,Tool47-4,Tool48-1,Tool49-2,Tool50-2,Tool51-1,Tool52-1,Tool53-3,Tool54-4,Tool55-4,Tool56-1,Tool57-2,Tool58-1,Tool59-1,Tool60-1,Tool61-1,Tool62-4,Tool63-1,Tool64-1,Tool65-1,Tool66-2,Tool67-3,Tool68-1,Tool69-3,Tool70-2,Tool71-1,Tool72-2,Tool73-1,Tool74-3,Tool75-2,Tool76-2,Tool77-1,Tool78-1,Tool79-4,Tool80-3,Tool81-1,Tool82-2,Tool83-2,Tool84-2,Tool85-1,Tool86-1,Tool87-2,Tool88-3,Tool89-2,Tool90-2,Tool91-1,Tool92-2,Tool93-5,Tool94-1,Tool95-1,Tool96-3,Tool97-5,Tool98-5,Tool99-3,Tool100-2
Lot017_16,Tool1-4,Tool2-4,Tool3-2,Tool4-4,Tool5-4,Tool6-7,Tool7-1,Tool8-1,Tool9-2,Tool10-1,Tool11-4,Tool12-1,Tool13-5,Tool14-4,Tool15-3,Tool16-1,Tool17-1,Tool18-1,Tool19-1,Tool20-1,Tool21-1,Tool22-2,Tool23-2,NA,Tool25-2,Tool26-1,Tool27-2,Tool28-6,Tool29-7,NA,Tool31-2,Tool32-1,Tool33-4,Tool34-2,Tool35-6,Tool36-2,Tool37-2,Tool38-1,Tool39-2,Tool40-1,Tool41-3,Tool42-3,Tool43-8,Tool44-5,Tool45-2,Tool46-2,Tool47-4,Tool48-1,NA,Tool50-2,Tool51-1,Tool52-1,Tool53-3,NA,Tool55-4,Tool56-1,Tool57-2,Tool58-1,Tool59-1,Tool60-1,Tool61-1,NA,Tool63-1,Tool64-1,Tool65-1,Tool66-2,Tool67-3,Tool68-1,Tool69-3,Tool70-2,Tool71-1,Tool72-2,Tool73-1,Tool74-3,Tool75-2,Tool76-2,Tool77-1,Tool78-1,Tool79-4,Tool80-3,Tool81-1,Tool82-2,Tool83-2,Tool84-2,Tool85-1,Tool86-1,Tool87-2,Tool88-3,Tool89-2,Tool90-2,Tool91-1,NA,Tool93-5,Tool94-1,Tool95-1,Tool96-3,Tool97-5,NA,NA,Tool100-2
Lot017_17,Tool1-4,Tool2-4,Tool3-2,Tool4-4,NA,Tool6-7,Tool7-1,Tool8-1,Tool9-2,Tool10-1,Tool11-4,Tool12-1,Tool13-5,Tool14-4,Tool15-3,Tool16-1,Tool17-1,Tool18-1,Tool19-1,Tool20-1,Tool21-1,Tool22-2,Tool23-2,Tool24-2,Tool25-2,Tool26-1,Tool27-2,Tool28-6,Tool29-7,Tool30-2,Tool31-2,Tool32-1,Tool33-4,Tool34-2,Tool35-6,Tool36-2,NA,Tool38-1,Tool39-2,Tool40-1,Tool41-3,Tool42-3,Tool43-8,Tool44-5,Tool45-2,Tool46-2,Tool47-4,Tool48-1,Tool49-2,Tool50-2,Tool51-1,Tool52-1,Tool53-3,Tool54-4,Tool55-4,Tool56-1,Tool57-2,Tool58-1,Tool59-1,Tool60-1,Tool61-1,Tool62-4,Tool63-1,Tool64-1,Tool65-1,Tool66-2,Tool67-3,Tool68-1,Tool69-3,Tool70-2,Tool71-1,Tool72-2,NA,NA,Tool75-2,Tool76-2,Tool77-1,Tool78-1,Tool79-4,Tool80-3,Tool81-1,Tool82-2,Tool83-2,Tool84-2,Tool85-1,Tool86-1,Tool87-2,Tool88-3,Tool89-2,Tool90-2,Tool91-1,Tool92-2,Tool93-5,Tool94-1,Tool95-1,Tool96-3,Tool97-5,Tool98-5,Tool99-3,Tool100-2
Lot017_18,Tool1-4,Tool2-4,Tool3-2,Tool4-4,Tool5-4,Tool6-7,Tool7-1,Tool8-1,Tool9-2,NA,Tool11-4,Tool12-1,Tool13-5,Tool14-4,Tool15-3,Tool16-1,Tool17-1,Tool18-1,NA,Tool20-1,Tool21-1,Tool22-2,Tool23-2,Tool24-2,Tool25-2,Tool26-1,Tool27-2,Tool28-6,Tool29-7,Tool30-2,Tool31-2,Tool32-1,NA,Tool34-2,Tool35-6,Tool36-2,Tool37-2,Tool38-1,Tool39-2,Tool40-1,Tool41-3,Tool42-3,NA,Tool44-5,Tool45-2,Tool46-2,Tool47-4,Tool48-1,Tool49-2,Tool50-2,Tool51-1,Tool52-1,Tool53-3,Tool54-4,Tool55-4,Tool56-1,NA,Tool58-1,Tool59-1,Tool60-1,Tool61-1,Tool62-4,NA,NA,Tool65-1,Tool66-2,Tool67-3,Tool68-1,Tool69-3,Tool70-2,Tool71-1,Tool72-2,Tool73-1,Tool74-3,Tool75-2,Tool76-2,Tool77-1,Tool78-1,Tool79-4,Tool80-3,Tool81-1,Tool82-2,Tool83-2,Tool84-2,Tool85-1,Tool86-1,Tool87-2,Tool88-3,Tool89-2,Tool90-2,Tool91-1,Tool92-2,NA,NA,Tool95-1,Tool96-3,Tool97-5,Tool98-5,Tool99-3,Tool100-2
Lot017_19,Tool1-4,Tool2-4,Tool3-2,Tool4-4,Tool5-4,Tool6-7,Tool7-1,Tool8-1,Tool9-2,Tool10-1,NA,Tool12-1,Tool13-5,Tool14-4,Tool15-3,Tool16-1,Tool17-1,Tool18-1,Tool19-1,Tool20-1,Tool21-1,Tool22-2,Tool23-2,Tool24-2,Tool25-2,Tool26-1,Tool27-2,Tool28-6,Tool29-7,Tool30-2,Tool31-2,Tool32-1,Tool33-4,Tool34-2,Tool35-6,Tool36-2,Tool37-2,Tool38-1,Tool39-2,Tool40-1,Tool41-3,Tool42-3,Tool43-8,Tool44-5,Tool45-2,Tool46-2,Tool47-4,Tool48-1,Tool49-2,Tool50-2,Tool51-1,Tool52-1,Tool53-3,Tool54-4,Tool55-4,Tool56-1,Tool57-2,Tool58-1,Tool59-1,Tool60-1,Tool61-1,Tool62-4,Tool63-1,Tool64-1,Tool65-1,Tool66-2,Tool67-3,Tool68-1,Tool69-3,Tool70-2,Tool71-1,Tool72-2,Tool73-1,Tool74-3,Tool75-2,Tool76-2,Tool77-1,Tool78-1,Tool79-4,Tool80-3,Tool81-1,Tool82-2,Tool83-2,NA,Tool85-1,Tool86-1,Tool87-2,Tool88-3,Tool89-2,Tool90-2,Tool91-1,Tool92-2,Tool93-5,Tool94-1,Tool95-1,Tool96-3,Tool97-5,Tool98-5,Tool99-3,Tool100-2
Lot017_20,Tool1-4,Tool2-4,Tool3-2,Tool4-4,Tool5-4,Tool6-7,Tool7-1,Tool8-1,Tool9-2,Tool10-1,Tool11-4,Tool12-1,Tool13-5,Tool14-4,Tool15-3,NA,Tool17-1,Tool18-1,Tool19-1,Tool20-1,Tool21-1,Tool22-2,Tool23-2,Tool24-2,Tool25-2,Tool26-1,Tool27-2,Tool28-6,Tool29-7,Tool30-2,Tool31-2,Tool32-1,Tool33-4,Tool34-2,Tool35-6,Tool36-2,Tool37-2,Tool38-1,Tool39-2,Tool40-1,Tool41-3,Tool42-3,Tool43-8,Tool44-5,Tool45-2,Tool46-2,Tool47-4,NA,Tool49-2,Tool50-2,Tool51-1,Tool52-1,Tool53-3,Tool54-4,Tool55-4,Tool56-1,Tool57-2,Tool58-1,Tool59-1,Tool60-1,Tool61-1,Tool62-4,Tool63-1,Tool64-1,Tool65-1,Tool66-2,Tool67-3,Tool68-1,Tool69-3,Tool70-2,Tool71-1,Tool72-2,Tool73-1,Tool74-3,NA,Tool76-2,Tool77-1,Tool78-1,Tool79-4,Tool80-3,Tool81-1,Tool82-2,Tool83-2,Tool84-2,Tool85-1,Tool86-1,Tool87-2,Tool88-3,Tool89-2,NA,Tool91-1,Tool92-2,Tool93-5,Tool94-1,Tool95-1,Tool96-3,Tool97-5,Tool98-5,Tool99-3,Tool100-2
Lot017_21,Tool1-4,Tool2-4,Tool3-2,NA,Tool5-4,Tool6-7,Tool7-1,Tool8-1,Tool9-2,Tool10-1,Tool11-4,Tool12-1,Tool13-5,Tool14-4,Tool15-3,Tool16-1,Tool17-1,Tool18-1,Tool19-1,Tool20-1,Tool21-1,Tool22-2,Tool23-2,Tool24-2,Tool25-2,Tool26-1,Tool27-2,Tool28-6,Tool29-7,Tool30-2,Tool31-2,Tool32-1,Tool33-4,Tool34-2,Tool35-6,Tool36-2,Tool37-2,Tool38-1,Tool39-2,Tool40-1,Tool41-3,Tool42-3,Tool43-8,Tool44-5,Tool45-2,Tool46-2,Tool47-4,Tool48-1,Tool49-2,Tool50-2,Tool51-1,Tool52-1,Tool53-3,Tool54-4,Tool55-4,Tool56-1,Tool57-2,Tool58-1,Tool59-1,Tool60-1,Tool61-1,Tool62-4,Tool63-1,Tool64-1,Tool65-1,Tool66-2,Tool67-3,Tool68-1,Tool69-3,Tool70-2,Tool71-1,Tool72-2,Tool73-1,Tool74-3,Tool75-2,Tool76-2,Tool77-1,Tool78-1,Tool79-4,Tool80-3,Tool81-1,Tool82-2,Tool83-2,Tool84-2,Tool85-1,Tool86-1,Tool87-2,Tool88-3,Tool89-2,Tool90-2,Tool91-1,Tool92-2,Tool93-5,Tool94-1,Tool95-1,Tool96-3,Tool97-5,Tool98-5,Tool99-3,Tool100-2
Lot017_24,Tool1-4,Tool2-4,Tool3-2,Tool4-4,Tool5-4,Tool6-7,Tool7-1,Tool8-1,Tool9-2,Tool10-1,Tool11-4,Tool12-1,Tool13-5,Tool14-4,Tool15-3,Tool16-1,NA,Tool18-1,Tool19-1,Tool20-1,Tool21-1,Tool22-2,Tool23-2,Tool24-2,Tool25-2,Tool26-1,NA,Tool28-6,Tool29-7,Tool30-2,Tool31-2,Tool32-1,Tool33-4,Tool34-2,Tool35-6,Tool36-2,Tool37-2,Tool38-1,Tool39-2,Tool40-1,Tool41-3,Tool42-3,Tool43-8,Tool44-5,Tool45-2,Tool46-2,Tool47-4,Tool48-1,Tool49-2,Tool50-2,Tool51-1,Tool52-1,Tool53-3,Tool54-4,Tool55-4,Tool56-1,Tool57-2,Tool58-1,Tool59-1,Tool60-1,Tool61-1,Tool62-4,Tool63-1,Tool64-1,Tool65-1,Tool66-2,Tool67-3,Tool68-1,Tool69-3,Tool70-2,Tool71-1,Tool72-2,Tool73-1,Tool74-3,Tool75-2,Tool76-2,Tool77-1,Tool78-1,Tool79-4,Tool80-3,Tool81-1,Tool82-2,Tool83-2,Tool84-2,Tool85-1,NA,Tool87-2,Tool88-3,Tool89-2,Tool90-2,Tool91-1,Tool92-2,Tool93-5,Tool94-1,Tool95-1,Tool96-3,Tool97-5,Tool98-5,Tool99-3,Tool100-2
Lot017_25,Tool1-4,Tool2-4,Tool3-2,Tool4-4,Tool5-4,Tool6-7,Tool7-1,Tool8-1,Tool9-2,Tool10-1,Tool11-4,Tool12-1,Tool13-5,Tool14-4,Tool15-3,Tool16-1,Tool17-1,Tool18-1,Tool19-1,Tool20-1,NA,Tool22-2,Tool23-2,Tool24-2,Tool25-2,Tool26-1,Tool27-2,Tool28-6,Tool29-7,Tool30-2,Tool31-2,Tool32-1,Tool33-4,Tool34-2,Tool35-6,Tool36-2,NA,Tool38-1,Tool39-2,Tool40-1,Tool41-3,Tool42-3,Tool43-8,Tool44-5,Tool45-2,Tool46-2,Tool47-4,Tool48-1,Tool49-2,Tool50-2,Tool51-1,Tool52-1,Tool53-3,Tool54-4,Tool55-4,NA,Tool57-2,Tool58-1,Tool59-1,Tool60-1,Tool61-1,Tool62-4,Tool63-1,Tool64-1,Tool65-1,NA,Tool67-3,Tool68-1,Tool69-3,Tool70-2,Tool71-1,Tool72-2,Tool73-1,Tool74-3,Tool75-2,NA,Tool77-1,Tool78-1,Tool79-4,Tool80-3,Tool81-1,Tool82-2,Tool83-2,Tool84-2,Tool85-1,Tool86-1,Tool87-2,Tool88-3,NA,Tool90-2,Tool91-1,Tool92-2,Tool93-5,Tool94-1,Tool95-1,Tool96-3,Tool97-5,Tool98-5,Tool99-3,Tool100-2
Lot019_01,Tool1-1,Tool2-1,Tool3-2,NA,Tool5-6,Tool6-3,Tool7-1,Tool8-2,Tool9-3,Tool10-2,Tool11-4,Tool12-2,Tool13-1,Tool14-1,Tool15-7,Tool16-2,Tool17-3,Tool18-3,Tool19-3,Tool20-1,Tool21-2,Tool22-2,Tool23-4,Tool24-1,Tool25-3,Tool26-2,Tool27-2,Tool28-2,Tool29-3,Tool30-2,Tool31-1,Tool32-1,Tool33-1,Tool34-1,Tool35-5,Tool36-1,Tool37-2,Tool38-2,Tool39-1,Tool40-2,Tool41-1,Tool42-3,Tool43-3,Tool44-2,Tool45-1,Tool46-2,Tool47-1,Tool48-2,Tool49-2,Tool50-2,Tool51-2,Tool52-2,Tool53-2,Tool54-1,NA,Tool56-2,Tool57-2,Tool58-3,Tool59-4,Tool60-1,Tool61-2,Tool62-4,Tool63-2,Tool64-1,Tool65-1,Tool66-5,Tool67-1,Tool68-1,Tool69-1,Tool70-3,Tool71-2,Tool72-3,Tool73-2,Tool74-3,Tool75-4,Tool76-2,Tool77-2,Tool78-3,Tool79-1,Tool80-1,Tool81-1,Tool82-3,Tool83-2,Tool84-1,Tool85-3,Tool86-3,Tool87-1,Tool88-7,Tool89-2,Tool90-3,Tool91-5,Tool92-1,Tool93-6,Tool94-2,Tool95-3,Tool96-3,Tool97-1,Tool98-4,Tool99-3,Tool100-2
Lot019_02,Tool1-1,Tool2-1,Tool3-2,Tool4-5,Tool5-6,Tool6-3,Tool7-1,Tool8-2,Tool9-3,Tool10-2,NA,Tool12-2,Tool13-1,Tool14-1,Tool15-7,Tool16-2,Tool17-3,Tool18-3,Tool19-3,Tool20-1,Tool21-2,Tool22-2,Tool23-4,Tool24-1,Tool25-3,Tool26-2,Tool27-2,Tool28-2,Tool29-3,Tool30-2,Tool31-1,Tool32-1,Tool33-1,Tool34-1,Tool35-5,Tool36-1,Tool37-2,NA,Tool39-1,Tool40-2,Tool41-1,Tool42-3,Tool43-3,Tool44-2,Tool45-1,Tool46-2,Tool47-1,Tool48-2,NA,Tool50-2,Tool51-2,Tool52-2,Tool53-2,Tool54-1,Tool55-1,Tool56-2,Tool57-2,Tool58-3,Tool59-4,Tool60-1,Tool61-2,Tool62-4,Tool63-2,Tool64-1,Tool65-1,Tool66-5,Tool67-1,Tool68-1,Tool69-1,NA,Tool71-2,Tool72-3,NA,Tool74-3,Tool75-4,Tool76-2,Tool77-2,Tool78-3,Tool79-1,Tool80-1,Tool81-1,Tool82-3,Tool83-2,Tool84-1,Tool85-3,Tool86-3,Tool87-1,Tool88-7,Tool89-2,Tool90-3,Tool91-5,Tool92-1,Tool93-6,Tool94-2,Tool95-3,Tool96-3,Tool97-1,Tool98-4,Tool99-3,Tool100-2
Lot019_03,Tool1-1,Tool2-1,Tool3-2,Tool4-5,Tool5-6,Tool6-3,Tool7-1,Tool8-2,Tool9-3,Tool10-2,Tool11-4,Tool12-2,Tool13-1,NA,Tool15-7,Tool16-2,Tool17-3,Tool18-3,Tool19-3,Tool20-1,Tool21-2,Tool22-2,Tool23-4,Tool24-1,Tool25-3,Tool26-2,Tool27-2,Tool28-2,Tool29-3,NA,Tool31-1,Tool32-1,Tool33-1,Tool34-1,Tool35-5,Tool36-1,Tool37-2,Tool38-2,Tool39-1,NA,NA,Tool42-3,Tool43-3,NA,Tool45-1,NA,Tool47-1,Tool48-2,Tool49-2,Tool50-2,Tool51-2,Tool52-2,NA,Tool54-1,Tool55-1,Tool56-2,Tool57-2,Tool58-3,Tool59-4,Tool60-1,Tool61-2,Tool62-4,Tool63-2,Tool64-1,Tool65-1,Tool66-5,Tool67-1,Tool68-1,Tool69-1,NA,Tool71-2,Tool72-3,Tool73-2,Tool74-3,Tool75-4,Tool76-2,Tool77-2,Tool78-3,Tool79-1,Tool80-1,Tool81-1,Tool82-3,Tool83-2,Tool84-1,Tool85-3,Tool86-3,Tool87-1,Tool88-7,Tool89-2,Tool90-3,Tool91-5,Tool92-1,Tool93-6,Tool94-2,Tool95-3,Tool96-3,Tool97-1,Tool98-4,Tool99-3,NA
Lot019_04,Tool1-1,Tool2-1,Tool3-2,Tool4-5,Tool5-6,Tool6-3,Tool7-1,Tool8-2,Tool9-3,Tool10-2,Tool11-4,Tool12-2,Tool13-1,Tool14-1,Tool15-7,Tool16-2,Tool17-3,Tool18-3,Tool19-3,Tool20-1,Tool21-2,Tool22-2,Tool23-4,Tool24-1,Tool25-3,Tool26-2,Tool27-2,Tool28-2,Tool29-3,Tool30-2,Tool31-1,Tool32-1,Tool33-1,Tool34-1,Tool35-5,Tool36-1,Tool37-2,Tool38-2,Tool39-1,Tool40-2,Tool41-1,NA,Tool43-3,Tool44-2,Tool45-1,Tool46-2,Tool47-1,Tool48-2,Tool49-2,Tool50-2,Tool51-2,Tool52-2,Tool53-2,Tool54-1,NA,Tool56-2,Tool57-2,Tool58-3,Tool59-4,Tool60-1,Tool61-2,NA,Tool63-2,Tool64-1,Tool65-1,Tool66-5,Tool67-1,Tool68-1,Tool69-1,Tool70-3,Tool71-2,Tool72-3,Tool73-2,Tool74-3,Tool75-4,Tool76-2,Tool77-2,NA,NA,Tool80-1,Tool81-1,Tool82-3,Tool83-2,Tool84-1,Tool85-3,Tool86-3,Tool87-1,Tool88-7,Tool89-2,Tool90-3,Tool91-5,Tool92-1,Tool93-6,Tool94-2,Tool95-3,Tool96-3,Tool97-1,Tool98-4,Tool99-3,Tool100-2
Lot019_05,NA,Tool2-1,Tool3-2,Tool4-5,Tool5-6,Tool6-3,Tool7-1,Tool8-2,Tool9-3,Tool10-2,Tool11-4,Tool12-2,Tool13-1,Tool14-1,Tool15-7,Tool16-2,Tool17-3,Tool18-3,Tool19-3,Tool20-1,Tool21-2,Tool22-2,Tool23-4,Tool24-1,Tool25-3,NA,Tool27-2,Tool28-2,Tool29-3,Tool30-2,Tool31-1,Tool32-1,Tool33-1,Tool34-1,Tool35-5,Tool36-1,Tool37-2,Tool38-2,Tool39-1,Tool40-2,Tool41-1,Tool42-3,Tool43-3,Tool44-2,Tool45-1,Tool46-2,NA,Tool48-2,Tool49-2,Tool50-2,Tool51-2,NA,Tool53-2,Tool54-1,Tool55-1,Tool56-2,Tool57-2,Tool58-3,Tool59-4,Tool60-1,Tool61-2,Tool62-4,Tool63-2,Tool64-1,Tool65-1,Tool66-5,Tool67-1,Tool68-1,Tool69-1,Tool70-3,Tool71-2,NA,Tool73-2,Tool74-3,Tool75-4,Tool76-2,Tool77-2,Tool78-3,Tool79-1,Tool80-1,Tool81-1,Tool82-3,Tool83-2,Tool84-1,Tool85-3,Tool86-3,Tool87-1,Tool88-7,Tool89-2,Tool90-3,Tool91-5,Tool92-1,Tool93-6,Tool94-2,NA,Tool96-3,Tool97-1,Tool98-4,Tool99-3,Tool100-2
Lot019_06,Tool1-1,Tool2-1,Tool3-2,Tool4-5,Tool5-6,Tool6-3,Tool7-1,Tool8-2,Tool9-3,Tool10-2,Tool11-4,Tool12-2,Tool13-1,Tool14-1,Tool15-7,Tool16-2,Tool17-3,Tool18-3,Tool19-3,Tool20-1,NA,Tool22-2,Tool23-4,Tool24-1,Tool25-3,Tool26-2,Tool27-2,Tool28-2,Tool29-3,Tool30-2,Tool31-1,Tool32-1,Tool33-1,Tool34-1,Tool35-5,Tool36-1,Tool37-2,NA,Tool39-1,Tool40-2,Tool41-1,Tool42-3,Tool43-3,Tool44-2,Tool45-1,Tool46-2,Tool47-1,Tool48-2,Tool49-2,Tool50-2,Tool51-2,Tool52-2,Tool53-2,Tool54-1,Tool55-1,Tool56-2,Tool57-2,Tool58-3,Tool59-4,Tool60-1,Tool61-2,Tool62-4,Tool63-2,Tool64-1,Tool65-1,Tool66-5,Tool67-1,Tool68-1,Tool69-1,Tool70-3,Tool71-2,Tool72-3,Tool73-2,Tool74-3,Tool75-4,NA,Tool77-2,Tool78-3,Tool79-1,Tool80-1,Tool81-1,Tool82-3,Tool83-2,Tool84-1,Tool85-3,Tool86-3,Tool87-1,Tool88-7,Tool89-2,Tool90-3,Tool91-5,Tool92-1,Tool93-6,Tool94-2,Tool95-3,Tool96-3,Tool97-1,Tool98-4,Tool99-3,Tool100-2
Lot019_07,Tool1-1,Tool2-1,Tool3-2,Tool4-5,Tool5-6,Tool6-3,Tool7-1,Tool8-2,NA,Tool10-2,Tool11-4,Tool12-2,Tool13-1,Tool14-1,Tool15-7,Tool16-2,Tool17-3,Tool18-3,Tool19-3,Tool20-1,Tool21-2,Tool22-2,Tool23-4,Tool24-1,Tool25-3,Tool26-2,Tool27-2,Tool28-2,Tool29-3,Tool30-2,Tool31-1,Tool32-1,Tool33-1,Tool34-1,Tool35-5,Tool36-1,Tool37-2,Tool38-2,Tool39-1,Tool40-2,Tool41-1,Tool42-3,Tool43-3,Tool44-2,Tool45-1,Tool46-2,Tool47-1,Tool48-2,NA,Tool50-2,Tool51-2,Tool52-2,Tool53-2,Tool54-1,NA,Tool56-2,Tool57-2,Tool58-3,Tool59-4,Tool60-1,Tool61-2,Tool62-4,Tool63-2,Tool64-1,NA,Tool66-5,Tool67-1,Tool68-1,Tool69-1,Tool70-3,Tool71-2,NA,Tool73-2,Tool74-3,Tool75-4,Tool76-2,Tool77-2,Tool78-3,Tool79-1,Tool80-1,Tool81-1,Tool82-3,Tool83-2,Tool84-1,Tool85-3,Tool86-3,Tool87-1,Tool88-7,Tool89-2,Tool90-3,Tool91-5,Tool92-1,Tool93-6,Tool94-2,Tool95-3,Tool96-3,Tool97-1,Tool98-4,Tool99-3,Tool100-2
Lot019_08,Tool1-1,Tool2-1,Tool3-2,Tool4-5,Tool5-6,Tool6-3,Tool7-1,Tool8-2,Tool9-3,Tool10-2,Tool11-4,Tool12-2,Tool13-1,Tool14-1,Tool15-7,Tool16-2,Tool17-3,NA,Tool19-3,Tool20-1,Tool21-2,Tool22-2,Tool23-4,Tool24-1,Tool25-3,Tool26-2,Tool27-2,NA,Tool29-3,Tool30-2,Tool31-1,Tool32-1,Tool33-1,Tool34-1,Tool35-5,Tool36-1,Tool37-2,Tool38-2,Tool39-1,Tool40-2,Tool41-1,Tool42-3,Tool43-3,Tool44-2,Tool45-1,Tool46-2,Tool47-1,Tool48-2,Tool49-2,Tool50-2,Tool51-2,Tool52-2,Tool53-2,Tool54-1,Tool55-1,Tool56-2,Tool57-2,Tool58-3,NA,Tool60-1,Tool61-2,Tool62-4,Tool63-2,Tool64-1,Tool65-1,Tool66-5,NA,Tool68-1,Tool69-1,Tool70-3,Tool71-2,Tool72-3,Tool73-2,NA,Tool75-4,Tool76-2,Tool77-2,Tool78-3,Tool79-1,Tool80-1,Tool81-1,Tool82-3,Tool83-2,Tool84-1,Tool85-3,Tool86-3,Tool87-1,Tool88-7,Tool89-2,Tool90-3,Tool91-5,Tool92-1,Tool93-6,Tool94-2,Tool95-3,Tool96-3,Tool97-1,Tool98-4,Tool99-3,Tool100-2
Lot019_09,Tool1-1,Tool2-1,Tool3-2,Tool4-5,NA,Tool6-3,Tool7-1,Tool8-2,Tool9-3,Tool10-2,Tool11-4,Tool12-2,Tool13-1,Tool14-1,Tool15-7,Tool16-2,Tool17-3,Tool18-3,Tool19-3,Tool20-1,Tool21-2,Tool22-2,Tool23-4,Tool24-1,Tool25-3,Tool26-2,Tool27-2,NA,Tool29-3,Tool30-2,Tool31-1,Tool32-1,Tool33-1,Tool34-1,Tool35-5,Tool36-1,Tool37-2,Tool38-2,Tool39-1,Tool40-2,Tool41-1,Tool42-3,Tool43-3,Tool44-2,Tool45-1,Tool46-2,NA,Tool48-2,Tool49-2,Tool50-2,Tool51-2,Tool52-2,NA,Tool54-1,Tool55-1,Tool56-2,Tool57-2,Tool58-3,Tool59-4,Tool60-1,Tool61-2,Tool62-4,Tool63-2,Tool64-1,Tool65-1,Tool66-5,Tool67-1,Tool68-1,Tool69-1,Tool70-3,Tool71-2,Tool72-3,Tool73-2,Tool74-3,Tool75-4,Tool76-2,Tool77-2,Tool78-3,Tool79-1,Tool80-1,Tool81-1,Tool82-3,Tool83-2,Tool84-1,Tool85-3,Tool86-3,Tool87-1,Tool88-7,Tool89-2,Tool90-3,Tool91-5,Tool92-1,Tool93-6,Tool94-2,Tool95-3,Tool96-3,Tool97-1,Tool98-4,Tool99-3,Tool100-2
